ra,rc,T,px,py
200.0,500,0.962703832,420.0,727.4613391789284
200.0,510,0.963444687,420.0,727.4613391789284
200.0,520,0.964928166,420.0,727.4613391789284
200.0,530,0.967122638,420.0,727.4613391789284
200.0,540,0.969878934,420.0,727.4613391789284
200.0,550,0.973140243,420.0,727.4613391789284
200.0,560,0.976744781,420.0,727.4613391789284
200.0,570,0.980510498,420.0,727.4613391789284
200.0,580,0.984270223,420.0,727.4613391789284
200.0,590,0.987860684,420.0,727.4613391789284
200.0,600,0.991096554,420.0,727.4613391789284
200.0,610,0.993835074,420.0,727.4613391789284
200.0,620,0.995992502,420.0,727.4613391789284
200.0,630,0.99747934,420.0,727.4613391789284
200.0,640,0.998291365,420.0,727.4613391789284
200.0,650,0.998428424,420.0,727.4613391789284
200.0,660,0.997947076,420.0,727.4613391789284
200.0,670,0.996949024,420.0,727.4613391789284
210.0,500,0.969629751,441.0,763.8344061378748
210.0,510,0.971923,441.0,763.8344061378748
210.0,520,0.974679974,441.0,763.8344061378748
210.0,530,0.977856111,441.0,763.8344061378748
210.0,540,0.981276886,441.0,763.8344061378748
210.0,550,0.984791363,441.0,763.8344061378748
210.0,560,0.988230083,441.0,763.8344061378748
210.0,570,0.991454019,441.0,763.8344061378748
210.0,580,0.994286566,441.0,763.8344061378748
210.0,590,0.996606475,441.0,763.8344061378748
210.0,600,0.998297408,441.0,763.8344061378748
210.0,610,0.999282981,441.0,763.8344061378748
210.0,620,0.999537145,441.0,763.8344061378748
210.0,630,0.999080183,441.0,763.8344061378748
210.0,640,0.997945811,441.0,763.8344061378748
210.0,650,0.996228531,441.0,763.8344061378748
210.0,660,0.994061543,441.0,763.8344061378748
210.0,670,0.991569986,441.0,763.8344061378748
220.0,500,0.982819178,462.0,800.2074730968212
220.0,510,0.9850216,462.0,800.2074730968212
220.0,520,0.987288979,462.0,800.2074730968212
220.0,530,0.989574982,462.0,800.2074730968212
220.0,540,0.991725443,462.0,800.2074730968212
220.0,550,0.993679332,462.0,800.2074730968212
220.0,560,0.995314089,462.0,800.2074730968212
220.0,570,0.996566606,462.0,800.2074730968212
220.0,580,0.997353793,462.0,800.2074730968212
220.0,590,0.997606976,462.0,800.2074730968212
220.0,600,0.997305624,462.0,800.2074730968212
220.0,610,0.996452192,462.0,800.2074730968212
220.0,620,0.995055244,462.0,800.2074730968212
220.0,630,0.99319702,462.0,800.2074730968212
220.0,640,0.990942026,462.0,800.2074730968212
220.0,650,0.988403738,462.0,800.2074730968212
220.0,660,0.985709664,462.0,800.2074730968212
220.0,670,0.982996455,462.0,800.2074730968212
