% ra (nm),rc (nm),"Total transmittance (1), Global Variable Probe 2"
275,660,0.981944161
275,670,0.984142651
275,680,0.986494739
275,690,0.988921518
275,700,0.991310339
275,710,0.993573937
275,720,0.99559246
275,730,0.99728052
275,740,0.998588427
275,750,0.999413421
275,760,0.999705016
275,770,0.999413517
275,780,0.998527726
275,790,0.997058002
275,800,0.995052673
275,810,0.992523887
275,820,0.989659011
275,830,0.986504177
275,840,0.983189608
275,850,0.979879559
285,300,0.97121482
285,310,0.970627045
285,320,0.970168861
285,330,0.969768511
285,340,0.969526884
285,350,0.969447441
285,360,0.969573771
285,370,0.969883632
285,380,0.970319169
285,390,0.970939271
285,400,0.971654344
285,410,0.972449251
285,420,0.973337262
285,430,0.974249723
285,440,0.975129054
285,450,0.976022646
285,460,0.976813948
285,470,0.97747374
285,480,0.977997843
285,490,0.978340529
285,500,0.978522797
285,510,0.978531248
285,520,0.978347885
285,530,0.978038876
285,540,0.977644636
285,550,0.97725639
285,560,0.976919028
285,570,0.976744676
285,580,0.976820529
285,590,0.977157227
285,600,0.977852524
285,610,0.978874153
285,620,0.980185888
285,630,0.981831409
285,640,0.983714957
285,650,0.985759494
285,660,0.987885262
285,670,0.990071304
285,680,0.992219587
285,690,0.994226577
285,700,0.996063879
285,710,0.997624952
285,720,0.998839924
285,730,0.999638669
285,740,0.999960604
285,750,0.999750163
285,760,0.998972014
285,770,0.997622953
285,780,0.995705991
285,790,0.993290861
285,800,0.99043065
285,810,0.987266785
285,820,0.983864184
285,830,0.980390865
285,840,0.977011801
285,850,0.973845496
295,300,0.970036916
295,310,0.969301693
295,320,0.968622488
295,330,0.96812077
