% ra (nm),rc (nm),"Total transmittance (1), Global Variable Probe 2"
125,300,0.96690476
125,315,0.967855571
125,330,0.970538539
125,345,0.974654443
125,360,0.97974563
125,375,0.985231416
125,390,0.990492516
125,405,0.994911217
125,420,0.998046523
125,435,0.999598679
125,450,0.999489057
125,465,0.997834408
125,480,0.994994473
125,495,0.991409979
125,510,0.987636226
125,525,0.984142555
125,540,0.981359296
125,555,0.979629705
125,570,0.979172763
125,585,0.979988681
125,600,0.981931063
125,615,0.984804625
125,630,0.988211751
125,645,0.991737083
125,660,0.994998307
125,675,0.997567793
125,690,0.999173906
125,705,0.99966531
125,720,0.999022278
125,735,0.997408087
125,750,0.995042275
125,765,0.992297988
125,780,0.989522609
125,795,0.987116933
125,810,0.985317549
125,825,0.98438627
125,840,0.984403123
